key,enabled,identity,password,username
user-account-anonymous-01,false,"UserIdentity{name: 'John', surname: 'Doe', email: 'john.doe@acme.com'}",HIDDEN-PASSWORD,anonymous
user-account-administrator-01,true,"UserIdentity{name: 'Administrator', surname: 'Acme', email: 'administrator@acme.com'}",administrator,administrator
user-account-epicure1,true,"UserIdentity{name: 'Epicure1', surname: 'One', email: 'epicure1@acme.com'}",epicure1,epicure1
user-account-epicure2,true,"UserIdentity{name: 'Epicure2', surname: 'Two', email: 'epicure2@acme.com'}",epicure2,epicure2
user-account-epicure3,true,"UserIdentity{name: 'Epicure3', surname: 'Three', email: 'epicure3@acme.com'}",epicure3,epicure3
user-account-epicure4,true,"UserIdentity{name: 'Epicure4', surname: 'Four', email: 'epicure4@acme.com'}",epicure4,epicure4
user-account-epicure5,true,"UserIdentity{name: 'Epicure5', surname: 'Five', email: 'epicure5@acme.com'}",epicure5,epicure5
user-account-chef1,true,"UserIdentity{name: 'Chef1', surname: 'One', email: 'chef1@acme.com'}",chef1,chef1
user-account-chef2,true,"UserIdentity{name: 'Chef2', surname: 'Two', email: 'chef2@acme.com'}",chef2,chef2
user-account-chef3,true,"UserIdentity{name: 'Chef3', surname: 'Three', email: 'chef3@acme.com'}",chef3,chef3
user-account-chef4,true,"UserIdentity{name: 'Chef4', surname: 'Four', email: 'chef4@acme.com'}",chef4,chef4
